Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
100     10      79783   797     319     1924    543
100     20      19772   197     185     299     19
100     30      16883   168     156     258     15
100     40      14282   142     135     247     14
100     50      11644   116     110     157     7
100     60      11602   115     110     154     6
100     70      11651   115     110     156     5
100     80      12037   119     110     177     11
100     90      11826   117     111     157     6
100     100     9278    92      88      105     2
100     110     9177    91      88      95      1
100     120     9131    91      88      96      1
100     130     9141    91      88      99      2
100     140     9226    91      88      110     3
100     150     9199    91      87      123     3
100     160     9165    90      88      96      1
100     170     9245    91      88      110     2
100     180     9267    92      88      115     3
100     190     9183    91      88      114     2
100     200     9167    91      88      112     3
100     210     9134    91      88      100     2
100     220     9224    92      88      119     3
100     230     9289    91      88      99      2
100     240     9529    94      88      133     10
100     250     9114    90      87      116     3
