Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
10000   10      572208  35720   32742   38545   1254
10000   20      66268   20660   19476   28432   1180
10000   30      437279  14371   13483   15846   577
10000   40      127140  11269   10640   12362   377
10000   50      19916   10197   9827    11311   310
10000   60      880469  8803    8444    9851    244
10000   70      776084  7759    7510    8676    226
10000   80      690108  6899    6700    7660    176
10000   90      632594  6324    6091    7257    216
10000   100     569228  5691    5478    6743    207
10000   110     521205  5211    5052    6197    211
10000   120     475050  4749    4561    5539    158
10000   130     440152  4400    4300    5051    113
10000   140     419450  4193    4080    4806    162
10000   150     382946  3828    3724    4424    109
10000   160     371473  3713    3535    4425    111
10000   170     352876  3527    3447    4248    100
10000   180     329484  3293    3171    3460    47
10000   190     312724  3126    3024    3213    36
10000   200     299500  2994    2882    3333    54
10000   210     289957  2898    2834    2959    30
10000   220     280569  2804    2663    3341    129
10000   230     263645  2635    2499    2868    51
10000   240     252684  2525    2450    2781    46
10000   250     240667  2405    2353    2506    33
