*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=2000, ns=10)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	10	1088	10	10	16	1
20	10	1698	16	12	91	10
30	10	1904	19	14	61	6
40	10	2260	22	20	62	5
50	10	3942	39	34	126	11
60	10	4841	48	41	111	7
70	10	6183	61	54	128	8
80	10	7227	72	63	106	5
90	10	8480	84	75	229	16
100	10	9295	92	83	140	7
110	10	10317	103	94	170	9
120	10	11352	113	106	151	5
130	10	12667	126	115	241	19
140	10	13422	134	123	181	8
150	10	14720	147	135	209	8
160	10	16155	161	149	245	17
170	10	16921	169	154	268	13
180	10	18066	180	169	258	13
190	10	18980	189	177	255	13
200	10	20349	203	189	334	20
210	10	21491	214	200	394	21
220	10	22588	225	210	313	17
230	10	23323	233	218	319	13
240	10	24825	248	233	384	22
250	10	25562	255	241	321	13
260	10	26823	268	253	338	14
270	10	27848	278	260	403	19
280	10	28937	289	271	425	21
290	10	29916	299	281	410	20
300	10	31025	310	290	404	21
310	10	31811	318	302	404	17
320	10	33175	331	312	405	17
330	10	33780	337	320	413	15
340	10	35269	352	333	437	17
350	10	36411	364	344	452	19
360	10	37671	376	354	496	23
370	10	38238	382	365	424	11
380	10	40015	400	378	524	25
390	10	40502	404	388	517	19
400	10	41836	418	397	526	20
410	10	42940	429	407	514	17
420	10	44082	440	420	548	19
430	10	45758	457	430	541	19
440	10	46696	466	444	570	20
450	10	46996	469	452	579	19
460	10	48254	482	461	576	21
470	10	49382	493	474	571	20
480	10	50283	502	480	596	18
490	10	51589	515	494	595	19
500	10	53041	530	504	634	20
510	10	53778	537	515	672	23
520	10	54954	549	525	673	24
530	10	55690	556	533	654	20
540	10	56983	569	545	654	20
550	10	58149	581	557	643	15
560	10	59524	595	571	696	18
570	10	62974	629	583	810	62
580	10	61398	613	590	713	20
590	10	62676	626	600	799	28
600	10	65850	658	626	762	22
610	10	65861	658	628	796	29
620	10	66250	662	637	784	22
630	10	67618	676	645	802	25
640	10	68441	684	656	838	24
650	10	69909	698	670	833	24
660	10	70931	709	684	843	22
670	10	71469	714	688	833	18
680	10	72827	728	698	814	19
690	10	73846	738	711	870	27
700	10	75646	756	721	906	27
710	10	76648	766	740	848	19
720	10	77255	772	747	889	22
730	10	78779	787	758	860	20
740	10	80058	800	777	902	23
750	10	81251	812	779	928	23
760	10	82441	824	795	957	25
770	10	83613	836	809	1001	23
780	10	85088	850	821	953	18
790	10	85537	855	828	972	22
800	10	87197	871	838	1005	29
810	10	88119	881	847	952	18
820	10	89916	899	867	1090	32
830	10	90412	904	874	991	24
840	10	93448	934	888	1050	32
850	10	94431	944	906	1100	31
860	10	93603	935	911	1052	20
870	10	95103	950	917	1124	29
880	10	96664	966	930	1079	28
890	10	98088	980	943	1117	29
900	10	98750	987	964	1074	20
910	10	99808	997	964	1151	24
920	10	100152	1001	976	1085	15
930	10	102134	1021	990	1119	24
940	10	103712	1036	1000	1172	23
950	10	104604	1045	1015	1122	18
960	10	105405	1053	1020	1173	25
970	10	106833	1068	1033	1199	24
980	10	108687	1086	1047	1222	24
990	10	109519	1095	1054	1216	29
1000	10	111565	1115	1081	1211	25

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
2000	10	244364	2443	2350	3093	83
2000	20	113212	1132	1095	1314	32
2000	30	72738	727	700	801	18
2000	40	53630	536	512	623	20
2000	50	42422	424	404	511	17
2000	60	35896	358	345	443	15
2000	70	30496	304	287	398	15
2000	80	25724	257	242	306	10
2000	90	23855	238	222	372	20
2000	100	20653	206	188	334	17
2000	110	19236	192	181	297	14
2000	120	17266	172	159	309	21
2000	130	16054	160	149	214	10
2000	140	15006	149	138	268	17
2000	150	13503	134	127	190	7
2000	160	12534	125	116	214	11
2000	170	11510	115	105	222	12
2000	180	11376	113	107	147	6
2000	190	10517	105	99	167	9
2000	200	9176	91	84	150	8
2000	210	9199	91	85	122	6
2000	220	9252	92	84	117	5
2000	230	8112	81	74	149	8
2000	240	8371	83	75	217	19
2000	250	7340	73	65	242	18
