Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
20000   10      705787  97056   85094   105121  5254
20000   20      672497  56723   53454   60333   1366
20000   30      5471    40053   38128   42850   1064
20000   40      33602   30334   29456   32792   569
20000   50      523430  25232   24164   28222   670
20000   60      148892  21487   20605   26471   809
20000   70      8778    20086   19262   21605   561
20000   80      733498  17333   16771   18906   445
20000   90      627059  16269   15809   18926   421
20000   100     447983  14478   13999   15507   356
20000   110     350555  13504   12789   14505   336
20000   120     215582  12154   11804   13371   293
20000   130     138485  11383   10974   12128   274
20000   140     85325   10851   10299   11936   288
20000   150     3734    10036   9633    11316   319
20000   160     953787  9536    9248    11223   313
20000   170     950948  9508    9285    10567   250
20000   180     924838  9247    8946    10493   294
20000   190     904538  9044    8781    10406   303
20000   200     864953  8648    8441    9856    223
20000   210     856542  8564    8082    10624   427
20000   220     802911  8027    7688    9303    326
20000   230     783722  7836    7511    9217    311
20000   240     747840  7477    7221    9241    392
20000   250     727224  7271    6916    9185    565
