Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
2000    10      606280  6061    5695    7303    300
2000    20      305735  3056    2904    3218    61
2000    30      206203  2060    1964    2220    55
2000    40      160592  1604    1510    1704    48
2000    50      128830  1287    1232    1388    42
2000    60      108387  1083    1016    1214    49
2000    70      91324   912     873     1012    38
2000    80      82256   821     770     1009    48
2000    90      75111   750     714     863     38
2000    100     65407   653     623     781     32
2000    110     62786   627     597     717     32
2000    120     56931   568     543     680     29
2000    130     53837   537     514     665     28
2000    140     51065   509     488     585     25
2000    150     48470   484     464     584     26
2000    160     45314   452     435     577     25
2000    170     42452   423     404     548     28
2000    180     42704   426     408     542     26
2000    190     39625   395     379     525     28
2000    200     37002   369     351     484     26
2000    210     37112   370     349     490     29
2000    220     36937   368     352     475     23
2000    230     34252   342     318     475     27
2000    240     34284   342     321     448     21
2000    250     30771   306     293     437     28
